#date+time,033-pwl,033-wsd,033-wdr
06-01-2008 0000,1.169,NA,NA
06-01-2008 0006,1.166,NA,NA
06-01-2008 0012,1.159,NA,NA
06-01-2008 0018,1.156,NA,NA
06-01-2008 0024,1.149,NA,NA
06-01-2008 0030,1.146,NA,NA
06-01-2008 0036,1.141,NA,NA
06-01-2008 0042,1.139,NA,NA
06-01-2008 0048,1.133,NA,NA
06-01-2008 0054,1.129,NA,NA
06-01-2008 0100,1.121,NA,NA
06-01-2008 0106,1.118,NA,NA
06-01-2008 0112,1.113,NA,NA
06-01-2008 0118,1.11,NA,NA
06-01-2008 0124,1.105,NA,NA
06-01-2008 0130,1.098,NA,NA
06-01-2008 0136,1.094,NA,NA
06-01-2008 0142,1.086,NA,NA
06-01-2008 0148,1.082,NA,NA
06-01-2008 0154,1.075,NA,NA
06-01-2008 0200,1.071,NA,NA
06-01-2008 0206,1.067,NA,NA
06-01-2008 0212,1.067,NA,NA
06-01-2008 0218,1.065,NA,NA
06-01-2008 0224,1.061,NA,NA
06-01-2008 0230,1.06,NA,NA
06-01-2008 0236,1.058,NA,NA
06-01-2008 0242,1.054,NA,NA
06-01-2008 0248,1.05,NA,NA
06-01-2008 0254,1.045,NA,NA
06-01-2008 0300,1.042,NA,NA
06-01-2008 0306,1.038,NA,NA
06-01-2008 0312,1.034,NA,NA
06-01-2008 0318,1.032,NA,NA
06-01-2008 0324,1.028,NA,NA
06-01-2008 0330,1.025,NA,NA
06-01-2008 0336,1.023,NA,NA
06-01-2008 0342,1.021,NA,NA
06-01-2008 0348,1.018,NA,NA
06-01-2008 0354,1.015,NA,NA
06-01-2008 0400,1.013,NA,NA
06-01-2008 0406,1.012,NA,NA
06-01-2008 0412,1.01,NA,NA
06-01-2008 0418,1.008,NA,NA
06-01-2008 0424,1.007,NA,NA
06-01-2008 0430,1.005,NA,NA
06-01-2008 0436,1.003,NA,NA
06-01-2008 0442,1.001,NA,NA
06-01-2008 0448,1,NA,NA
06-01-2008 0454,0.999,NA,NA
06-01-2008 0500,0.999,NA,NA
06-01-2008 0506,1.001,NA,NA
06-01-2008 0512,1.001,NA,NA
06-01-2008 0518,1.001,NA,NA
06-01-2008 0524,1.002,NA,NA
06-01-2008 0530,1.001,NA,NA
06-01-2008 0536,1.002,NA,NA
06-01-2008 0542,1.003,NA,NA
06-01-2008 0548,1.006,NA,NA
06-01-2008 0554,1.006,NA,NA
06-01-2008 0600,1.008,NA,NA
