#date+time,051-pwl,051-surge,051-wsd,051-wdr
"03-01-2011 0000",1.500,-0.125,4.400,356
"03-01-2011 0006",1.496,-0.127,NA,NA
"03-01-2011 0012",1.495,-0.127,NA,NA
"03-01-2011 0018",1.489,-0.132,NA,NA
"03-01-2011 0024",1.473,-0.146,NA,NA
"03-01-2011 0030",1.462,-0.156,NA,NA
"03-01-2011 0036",1.456,-0.160,NA,NA
"03-01-2011 0042",1.452,-0.163,NA,NA
"03-01-2011 0048",1.442,-0.172,NA,NA
"03-01-2011 0054",1.440,-0.173,NA,NA
"03-01-2011 0100",1.432,-0.179,3.900,360
"03-01-2011 0106",1.427,-0.183,NA,NA
"03-01-2011 0112",1.413,-0.196,NA,NA
"03-01-2011 0118",1.408,-0.200,NA,NA
"03-01-2011 0124",1.415,-0.192,NA,NA
"03-01-2011 0130",1.398,-0.208,NA,NA
"03-01-2011 0136",1.391,-0.214,NA,NA
"03-01-2011 0142",1.380,-0.224,NA,NA
"03-01-2011 0148",1.378,-0.225,NA,NA
"03-01-2011 0154",1.363,-0.239,NA,NA
"03-01-2011 0200",1.366,-0.235,3.800,342
"03-01-2011 0206",1.368,-0.232,NA,NA
"03-01-2011 0212",1.377,-0.222,NA,NA
"03-01-2011 0218",1.386,-0.212,NA,NA
"03-01-2011 0224",1.401,-0.197,NA,NA
"03-01-2011 0230",1.404,-0.193,NA,NA
"03-01-2011 0236",1.396,-0.200,NA,NA
"03-01-2011 0242",1.392,-0.203,NA,NA
"03-01-2011 0248",1.387,-0.207,NA,NA
"03-01-2011 0254",1.379,-0.214,3.800,342
"03-01-2011 0300",1.375,-0.217,4.300,333
"03-01-2011 0306",1.370,-0.221,2.200,356
"03-01-2011 0312",1.368,-0.222,3.700,351
"03-01-2011 0318",1.365,-0.224,3.900,349
"03-01-2011 0324",1.362,-0.226,3.200,346
"03-01-2011 0330",1.366,-0.221,3.600,339
"03-01-2011 0336",1.363,-0.223,4.000,345
"03-01-2011 0342",1.360,-0.225,5.100,342
"03-01-2011 0348",1.348,-0.236,4.700,332
"03-01-2011 0354",1.332,-0.250,4.300,333
"03-01-2011 0400",1.330,-0.251,4.400,323
"03-01-2011 0406",1.322,-0.258,4.100,333
"03-01-2011 0412",1.309,-0.269,5.000,333
"03-01-2011 0418",1.296,-0.281,4.700,339
"03-01-2011 0424",1.292,-0.283,5.200,337
"03-01-2011 0430",1.286,-0.288,5.400,333
"03-01-2011 0436",1.282,-0.290,5.900,332
"03-01-2011 0442",1.293,-0.277,5.000,333
"03-01-2011 0448",1.293,-0.276,4.700,334
"03-01-2011 0454",1.289,-0.278,4.400,323
"03-01-2011 0500",1.282,-0.283,4.000,324
"03-01-2011 0506",1.281,-0.282,5.200,323
"03-01-2011 0512",1.295,-0.265,4.000,326
"03-01-2011 0518",1.290,-0.268,4.000,331
"03-01-2011 0524",1.273,-0.283,3.300,321
"03-01-2011 0530",1.262,-0.291,3.900,327
"03-01-2011 0536",1.279,-0.271,3.900,327
